frame_id,capture_mono_ns,recv_mono_ns,save_mono_ns
711,15050019665614,194659843483837,194659844408130
712,15050051776599,194659886476209,194659887817956
713,15050084732050,194659926361933,194659927740430
715,15050151054246,194660171309575,194660172799694
716,15050183080649,194660207357461,194660208695012
717,15050219033030,194660243295677,194660244561968
718,15050250828499,194660286361665,194660287756998
719,15050282827768,194660293440878,194660294738870
720,15050318900928,194660357424046,194660358798574
721,15050350967903,194660371227336,194660372786252
722,15050382961598,194660372571122,194660373837569
723,15050419662040,194660399145897,194660400337062
724,15050451766306,194660406228049,194660407086511
725,15050483869583,194660412296146,194660413257294
726,15050519855609,194660417308870,194660418259549
727,15050551961959,194660439131508,194660440186859
729,15050615818050,194660451178965,194660452205807
730,15050651846992,194660452069700,194660452961115
731,15050684170421,194660455999525,194660456961503
732,15050715934537,194660517260118,194660518252982
733,15050751820461,194660557370158,194660558418550
734,15050783983268,194660597363297,194660598276000
735,15050815825664,194660678582924,194660679733612
736,15050852149392,194660715265415,194660716305050
737,15050883868301,194660716164362,194660717041503
738,15050915823351,194660721031269,194660721890992
739,15050951790263,194660730097778,194660730948543
740,15050983790729,194660804391951,194660805370270
741,15051015886922,194660845258336,194660846197474
742,15051051940395,194660878402952,194660879362967
743,15051083767166,194660891190349,194660892089478
744,15051115767945,194661125374423,194661126333411
745,15051151848084,194661160399036,194661161347550
747,15051215799225,194661195182717,194661196157113
748,15051251771241,194661293401637,194661294337395
749,15051283899361,194661323291798,194661324198663
750,15051315963785,194661333218839,194661334380759
751,15051351755803,194661372201434,194661373202962
752,15051383812571,194661416178825,194661417079408
753,15051415831057,194661443053125,194661444176290
754,15051452700610,194661456013472,194661456912568
755,15051483800675,194661484178720,194661485074438
756,15051515823172,194661515238244,194661516198306
757,15051551799198,194661525154165,194661526083923
758,15051583895548,194661555226660,194661556142787
759,15051615795547,194661559276899,194661560328812
760,15051651821312,194661560140809,194661560967490
761,15051683802038,194661570235881,194661571097553
762,15051715760682,194661573057618,194661573863683
763,15051751772645,194661595063688,194661595953742
764,15051783832642,194661612240525,194661613113801
765,15051815891440,194661677257697,194661678255012
766,15051851747416,194661721129835,194661722120299
768,15051915839910,194661727270187,194661728192431
769,15051951783697,194661938156029,194661939199289
770,15051983918692,194661959183803,194661960334564
771,15052015713797,194661969548503,194661970509289
772,15052051806175,194661974192429,194661975200888
773,15052083749194,194661996253559,194661997135584
774,15052115223575,194662055430648,194662056360372
775,15052147772313,194662077280426,194662078213684
776,15052182919238,194662082237060,194662083235626
777,15052215472508,194662093488692,194662094356812
779,15052283791651,194662116174997,194662117336923
780,15052315859043,194662117225430,194662118089013
781,15052347765292,194662153448072,194662154447033
782,15052383813296,194662200409228,194662201337982
783,15052415720534,194662206390537,194662207266494
784,15052447786364,194662273335438,194662274330152
785,15052483752338,194662286304495,194662287196730
786,15052515793741,194662317458134,194662318370911
787,15052547835925,194662328416743,194662329404367
788,15052583777056,194662394174348,194662395085917
789,15052615801636,194662404187058,194662405250247
790,15052647731843,194662452456231,194662453560682
791,15052683839950,194662473168514,194662474066804
792,15052715936873,194662516180385,194662517116357
793,15052747727707,194662555277878,194662556536368
